place_id,place_name,category,city_name,legal_dong_name,region_group,road_address,latitude,longitude,phone,website_url,closed_days,opening_hours,parking,has_admission_fee,admission_fee_detail,has_age_limit,age_limit_detail,nursing_room,stroller_rental,space_type,reservation_url,resident_discount,diaper_changing_table,photo_url,description,review_summary
P051,돌하르방미술관,전시/기념관,제주시,조천읍,구좌/조천,제주특별자치도 제주시 조천읍 북촌서1길 70,33.5396035971,126.6896605755,064-782-0570,,연중무휴,"[하절기(4월~10월)]
09:00~18:00 (입장 마감 17:30)
[동절기(11월~3월)]
09:00~17:00 (입장 마감 16:30)",무료,TRUE,"성인 : 7,000원 소인/경로/장애인 : 5,000원",FALSE,연령제한 없음,FALSE,FALSE,실내,https://m.booking.naver.com/booking/5/bizes/352203/,FALSE,FALSE,https://image.mom-mom.net/eyJrZXkiOiJwbGFjZXMvNjY1OTI5MjlhNDU4Y2VmNWY5ZDUyNDBkLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjc0Miwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfX19,"제주의 전통과 예술이 자연 속에 아름답게 어우러진 곳, 숲길을 따라 걸으며 다양한 표정과 개성을 가진 돌하르방을 하나씩 만나는 재미가 있습니다","자연 속에서 아이와 천천히 걷고, 놀고, 체험까지 하고 싶다면 한 번 들러볼 만한 곳이에요"
P023,김녕미로공원,관광지,제주시,구좌읍,구좌/조천,제주특별자치도 제주시 구좌읍 만장굴길 122,33.5363247299,126.7720396084,0507-1402-9266,http://www.jejumaze.com/,연중무휴,"09:00~17:50 (입장 마감 17:00)
※ 계절별로 상이하니 자세한 시간은 매표소 문의",무료,TRUE,,FALSE,연령제한 없음,FALSE,TRUE,실내/실외,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf30vhLg6WJeL4wExoQGqrWP4hqXc0BJStyi8SjvMbKvTvz90-tn-6J0I&s=10,,
P086,산굼부리,관광지,제주시,조천읍,구좌/조천,제주특별자치도 제주시 조천읍 비자림로 768,33.43487354,126.688504,064-783-9900,http://www.sangumburi.net,연중무휴,"[11~2월] 09:00~17:40, [3~10월] 09:00~18:40",무료,TRUE,,FALSE,연령제한 없음,FALSE,TRUE,실외,,,,https://tong.visitkorea.or.kr/cms/resource_photo/23/4062923_image2_1.jpg,,
P053,동홍아트홀,영화/연극/공연,서귀포시,동홍동,서귀포시,제주특별자치도 서귀포시 동홍로 104,33.25785315,126.5689194,064-760-4686,,,,무료,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내,,,,https://mblogthumb-phinf.pstatic.net/20150318_9/chungha66_1426690291371GgNJ0_JPEG/DSC06639.JPG?type=w420,,
P022,기당미술관,전시/기념관,서귀포시,서홍동,서귀포시,제주특별자치도 서귀포시 남성중로153번길 15,33.24479723,126.5511934,064-733-1586,https://culture.seogwipo.go.kr/gidang/index.htm,"월요일, 1월 1일, 명절","09:00~18:00, 30분 전 매표 및 입장 마감",무료,TRUE,"25~64세: 1,000원
13~24세: 500원
7~12세: 300원
6세 이하: 무료",FALSE,연령제한 없음,FALSE,TRUE,실내,,TRUE,TRUE,https://culture.seogwipo.go.kr/files/editor/7d116fa5-897d-4a56-80b8-99119794deed.jpg,"회화, 조각, 공예, 판화, 서예 등 다양한 현대 미술 작품을 관람할 수 있는 미술관",상설 전시 중인 변시지 화백의 작품과 특별 전시를 관람할 수 있어요. 조용히 관람하는 공간이라 어린이 동반 시 주의가 필요함.
P042,대유ATV수렵사격랜드,관광지,서귀포시,상예동,서귀포시,제주특별자치도 서귀포시 상예로 381 (상예동),33.2776146004829,126.395060779373,064-738-0500,,연중무휴※ 자세한 사항은 전화문의 요망,09:00~17:30,무료,TRUE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,,,"https://res.klook.com/image/upload/fl_lossy.progressive,w_1200,h_630,c_fill,q_85/activities/w0uc6gu3jrlknhsorpap.jpg",,
P092,상효원,관광지,서귀포시,상효동,서귀포시,제주특별자치도 서귀포시 산록남로 2847-37,33.30721676,126.5860085,064-733-2200,http://www.sanghyowon.com,연중무휴,"[3~9월] 09:00~19:00, [10~2월] 09:00~18:00",무료,TRUE,,FALSE,연령제한 없음,FALSE,TRUE,실외,,,,https://tong.visitkorea.or.kr/cms2/website/71/3392571.jpg,,
P027,김영갑갤러리두모악,전시/기념관,서귀포시,성산읍,성산/표선,제주특별자치도 서귀포시 성산읍 삼달로 137,33.3724080600,126.8542667942,064-784-9907,http://www.dumoak.com/,매주 월요일 / 1월 1일 / 설·추석 당일,"- 봄 (3월~6월) / 가을 (9월~10월) 09:30~18:00
- 여름 (7월~8월) 09:30~18:30
- 겨울 (11월~2월) 09:30~17:00
※ 관람시간 30분전 입장 마감",무료,TRUE,"- 어른 5,000원
- 어린이 / 경로 / 청소년 / 국가유공자 / 제주도민 / 장애인 3,000원",FALSE,연령제한 없음,FALSE,FALSE,실내,,,,https://museum.or.kr/wp-content/uploads/2025/04/%EA%B9%80%EC%98%81.jpg,,
P038,다이나믹메이즈,전시/기념관,서귀포시,표선면,성산/표선,제주특별자치도 서귀포시 표선면 번영로 2644,33.39911148,126.7847058,0507-1326-0912,http://www.dynamicmaze.com/main/main.php#&slider1=2,연중무휴,11:00~18:00,무료,TRUE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,,,https://api.cdn.visitjeju.net/photomng/imgpath/202410/17/e34fb9fd-afe5-4fb2-a720-101233369ad9.webp,,
P341,휘닉스 제주 섭지코지,관광지,서귀포시,성산읍,성산/표선,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.42604238,126.9264427,02-1577-0069,https://phoenixhnr.co.kr/page,연중무휴,"입실 14:00, 퇴실 11:00",무료/유료 주차,TRUE,,FALSE,연령제한 없음,FALSE,FALSE,실외,,,,https://img1.daumcdn.net/thumb/R1280x0.fjpg/?fname=http://t1.daumcdn.net/brunch/service/user/2UUt/image/KK--sTuXFGEzaKAifiPltvU6dpg.jpg,,
