place_id,place_name,category,city_name,legal_dong_name,region_group,road_address,latitude,longitude,phone,website_url,closed_days,opening_hours,parking,has_admission_fee,admission_fee_detail,has_age_limit,age_limit_detail,nursing_room,stroller_rental,space_type,reservation_url,resident_discount,diaper_changing_table,photo_url,description,review_summary
P001,9.81파크,관광지,제주시,애월읍,애월/한림,제주특별자치도 제주시 애월읍 천덕로 880-24,33.39003694,126.366509,1833-9810,http://www.981park.com,,,무료,TRUE,티켓별로 상이함,FALSE,연령제한 없음,TRUE,FALSE,실내/실외,https://www.981park.com/ticket,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/9.81%ED%8C%8C%ED%81%AC_%ED%9A%8C%EC%B0%A8%EB%A1%9C.jpg/960px-9.81%ED%8C%8C%ED%81%AC_%ED%9A%8C%EC%B0%A8%EB%A1%9C.jpg,레이싱 테마파크. 레이싱을 비롯한 여러 가지 실내외 액티비티가 있어요.,
P002,가시리창작지원센터,영화/연극/공연,서귀포시,표선면,성산/표선,제주특별자치도 서귀포시 표선면 중산간동로5220번길 56,33.35275982,126.7654368,070-8807-1305,,,,주차 불가,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내,,,,,,
P003,간드락게스트하우스,영화/연극/공연,제주시,아라이동,제주시,제주특별자치도 제주시 간월동로 12,33.48528887,126.5439738,0507-1310-2025,,월요일,10:00~06:00,무료,TRUE,,FALSE,연령제한 없음,FALSE,FALSE,실내,agoda.com/ko-kr/ganderak-guest-house/hotel/jeju-island-kr.html?cid=1844104,FALSE,,https://pix8.agoda.net/hotelImages/1192330/-1/645c4a7861d73d2c9a71eb2ae7f2e84d.jpg?ce=0&s=1024x,,
P004,갓전시관,전시/기념관,제주시,조천읍,구좌/조천,제주특별자치도 제주시 조천읍 남조로 1904,33.43721075,126.6706936,064-782-8778,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500023,"일요일, 월요일",10:00~17:00,무료,FALSE,,FALSE,연령제한 없음,FALSE,TRUE,실내,,,,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ce4df878-9495-4dec-8c2c-87e0ed47f495.webp,"갓을 만드는 작업은 물론, 갓의 원형 등 갓에 관한 모든 것을 보여주는 전시실과 학생들이 직접 체험할 수 있는 체험실, 영상실, 공방 등이 있어요.",
P005,강정마을미술관,전시/기념관,서귀포시,강정동,서귀포시,제주특별자치도 서귀포시 말질로 161,33.23704228,126.480144,0507-1440-0318,http://www.peacemoon0307.com,일요일,"평일 13:00~18:00, 토 13:00~15:00",주차 불가,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,,,,,
P006,갤러리2중선농원,전시/기념관,제주시,월평동,제주시,제주특별자치도 제주시 영평길 269,33.47816475,126.5702468,064-755-2112,http://www.gallery2.co.kr/,"월요일, 일요일",10:00~17:00,무료,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,FALSE,FALSE,"https://static-assets.artlogic.net/w_1600,h_1600,c_limit,f_auto,fl_lossy,q_auto/ws-artlogicwebsite1231/usr/exhibitions/images/exhibitions/93/installation-view-2.jpg","제주 월평동에 위치한 복합 문화 공간. 갤러리와 라이브러리, 카페 커피템플로 구성되어 있어요.","제주에서 쉽게 접하기 어려운 작가들의 전시를 관람할 수 있고, 돌담과 귤밭이 있는 야외 정원에서 제주를 만끽할 수 있어요."
P008,건입박물관,전시/기념관,제주시,건입동,제주시,제주특별자치도 제주시 산지로 5-14,33.51598137,126.5308451,,,공휴일 휴관,평일 11:00-20:00 점심시간 14:00-15:00 미운영,무료,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내,,FALSE,FALSE,,주민들의 삶이 고스란히 담긴 전시를 관람할 수 있어요.,제주시 원도심을 걷다가 가볍게 둘러보며 시간을 보내기 좋은 박물관이에요.
P010,고내촌(전통장체험),관광지,제주시,애월읍,애월/한림,제주특별자치도 제주시 애월읍 애상로 203-1,33.45278729,126.3419682,,,,,주차 불가,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,,,,,
P011,고산해안도로,관광지,제주시,한경면,애월/한림,제주특별자치도 제주시 한경면 노을해안로 1032-20,33.30026813,126.1676197,,,,,주차 불가,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실외,,FALSE,FALSE,,,
P014,구좌읍조개잡이체험어장,관광지,제주시,구좌읍,구좌/조천,제주특별자치도 제주시 구좌읍 동복로3길 23-8,33.55493768,126.7131915,,,,,주차 불가,FALSE,,FALSE,연령제한 없음,FALSE,FALSE,실내/실외,,,,,,
P015,국립제주박물관,전시/기념관,제주시,건입동,제주시,제주특별자치도 제주시 일주동로 17,33.51379671,126.5479096,064-720-8000,https://jeju.museum.go.kr/html/kr/index.html,"월요일, 1월 1일, 명절",09:00~18:00 (입장마감 17:30),무료,FALSE,,FALSE,연령제한 없음,TRUE,TRUE,실내,,FALSE,TRUE,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230321_77%2F1679358194881cnQu7_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFDSC09448.JPG,과거와 현대를 연결하는 복합 문화 공간. 상설 전시와 특별 전시를 관람할 수 있어요.,제주공항 근처에 있어 접근성이 좋고 관람료가 무료예요. 어린이 박물관이 별도로 마련되어 있어 아이들과 방문하기 좋아요.
P017,국제평화재단,전시/기념관,서귀포시,중문동,서귀포시,제주특별자치도 서귀포시 중문관광로 227-24,33.24438838,126.4220223,064-735-6500,http://www.ipf.or.kr/,,,무료,TRUE,"성인(20~64세): 1,500원
성인 단체(10인 이상): 1,000원
청소년(8~19세)·군인(하사 이하): 1,000원
청소년·군인 단체(10인 이상): 500원",FALSE,연령제한 없음,FALSE,TRUE,실내,,TRUE,TRUE,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240528_98%2F1716859575927rFKeW_JPEG%2F%25BC%25BE%25C5%25CD_%25C0%25FC%25B0%25E6_%25C1%25A4%25B8%25E9%2528%25C0%25FA%25C8%25AD%25C1%25FA%2529.jpg,"평화에 관한 홍보와 전시·교육, 체험 학습이 이루어지는 공간. 다양한 시청각 자료와 밀랍 인형 전시를 관람할 수 있어요.",작은 도서관 안에 키즈 존이 마련되어 있어 아이들과 방문하기 좋아요.
